PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626336,Population Pharmacokinetics and Exposure-Response Analyses for Capivasertib in Combination With Fulvestrant in Patients With Breast Cancer.,2025,Carlos Fernandez Teruel; Marie Cullberg; Ignacio González-García; Gaia Schiavon; Ling Zhang; Diansong Zhou,Clinical Pharmacology and Quantitative Pharmacology; Clinical Pharmacology and Quantitative Pharmacology; Clinical Pharmacology and Quantitative Pharmacology; Oncology R&D; Clinical Pharmacology; Clinical Pharmacology and Quantitative Pharmacology,N/A
40626321,Incidence and Immunopathology of Myositis in Rectal Cancer Patients Treated With Neoadjuvant Immune Checkpoint Inhibitors and Chemoradiotherapy: Findings From the CHINOREC Trial.,2025,N/A,N/A,N/A
40626312,Safety profile and dose-dependent adverse events of upadacitinib in randomized clinical trials: a systematic review and meta-analysis.,2025,N/A,N/A,N/A
40626281,Improving immunotherapy for the treatment of hepatocellular carcinoma: learning from patients and preclinical models.,2025,Mathias Heikenwälder,Division of Chronic Inflammation and Cancer,N/A
40626272,A self-reinforced activatable photosensitizer prodrug enabling synergistic photodynamic and chemotherapy.,2024,N/A,N/A,N/A
40626151,The oncogenic role of SPOCK1 in lung carcinoma by promoting immune evasion and its related mechanisms.,2025,N/A,N/A,N/A
40626138,Copper-Based Metal-Organic Framework Nanoplatform for miRNA Delivery: Synergistic Antitumor Therapy.,2025,N/A,N/A,N/A
40626069,Mechanistic insights and therapeutic innovations in engineered nanomaterial-driven disruption of biofilm dynamics.,2025,N/A,N/A,lilu2698@gdmu.edu.cn
40626039,Chimeric antigen receptor (CAR)-T-cell therapy for glioblastoma: what can we learn from the early clinical trials? A systematic review.,2025,N/A,N/A,N/A
40626035,Sepsis with Cancer is Marked by a Dysregulated Myeloid Cell Compartment: A Pilot Study.,2025,N/A,N/A,N/A
40626031,"Technical aspects, methodological challenges, and factors predicting outcomes of percutaneous ablation for colorectal liver metastases.",2025,N/A,N/A,N/A
40626025,Advancing clinical staging in invasive breast carcinoma: the role of contrast-enhanced mammography.,2025,Piotr Radomyski; Maciej Trojanowski; Karolina Kijewska; Agnieszka Lis; Joanna Pietkiewicz; Krzysztof Matuszewski; Łukasz Taraszkiewicz; Witold Kycler,Department of Radiology; Greater Poland Cancer Registry; Department of Radiology; Department of Radiology; Department of Radiology; Department of Medical Physics; Greater Poland Cancer Registry; Department of Gastrointestinal Surgical Oncology,N/A
40626022,Epigenetic dysregulation-induced metabolic reprogramming fuels tumor progression in bladder cancer.,2025,Xu Xu,Hangzhou Center for Health Development,N/A
40626021,Efficacy and safety of Sacituzumab govitecan in solid tumors: a systematic review and meta-analysis.,2025,N/A,N/A,N/A
40626018,Molecular markers for the efficacy of neoadjuvant immunotherapy for head and neck squamous cell carcinoma.,2025,N/A,N/A,N/A
